"标记","id","角色ID","角色","位置","台词","下一句","背景","音效","自身动作","目标位置","目标动作","屏幕效果","bgmName"
"#","0","","【我】","中","这……这怎么过去？路呢？","1","0","","","","","","Thinking"
"#","1","3","【希】","左","没有路。","2","0","","入场","","","",""
"#","2","","【我】","中","没有路？那我们站在这里干嘛？","3","0","","","","","",""
"#","3","3","【希】","左","没有现成的路……要自己造出来。","4","0","","","","","",""
"#","4","0","【派派】","右","笨蛋，这关得靠我们仨配合。你看——那边有隐性方块要显形，那边有区域需要反重力通过，还有那个地方可以用希的框加速冲过去。","5","0","","入场","","","",""
"#","5","","【我】","中","也就是说你们三个的能力这次全要用？","6","0","","","","","",""
"#","6","1","【嘉斯林】","右","全要用。而且不是各用各的，得同时用，互相搭。","7","0","","入场","","","",""
"#","7","","【我】","中","互相搭的意思是——","8","0","","","","","",""
"#","8","0","【派派】","右","意思是我显形出来的方块，嘉斯林姐可以在上面放反重力框，然后希的加速框叠在最上面，让你的车像被弹弓打出去一样飞过去！超级大合体！","9","0","","跳动","","","",""
"#","9","3","【希】","左","多重继承……但不会出现菱形问题……因为我们各自有明确的虚基类……","10","0","","","","","",""
"#","10","","【我】","中","希你今天话好像更多了。","11","0","","","","","",""
"#","11","3","【希】","左","……是之前没有必要……现在有必要了。","12","0","","","","","",""
"#","12","0","【派派】","右","希，说到指针——我一直想问，你今天说话的语气好像比平时更……急？","13","0","","抖动","","","",""
"#","13","3","【希】","左","……不。只是这个地形让我想起了一些事情。","14","0","","","","","",""
"#","14","1","【嘉斯林】","右","什么事情？","15","0","","","","","",""
"#","15","3","【希】","左","以前……我的姐妹还在的时候……我们也是这样配合的。C负责寻址和流程控制，C#负责对象封装和内存托管，我是C++，负责性能加速和底层操作符重载……三个人一起编译一个关卡……很顺畅……没有未定义行为。","16","0","","","","","",""
"#","16","","【我】","中","你的姐妹……C和C#？","17","0","","","","","",""
"#","17","3","【希】","左","嗯。代码世界崩溃之后，她们走散了。现在代码世界的断崖，就像我的姐妹离开后的内存碎片——相互之间不连续，无法直接访问。","18","0","","","","","",""
"#","18","0","【派派】","右","所以你今天话变多了，是因为想她们？","19","0","","","","","",""
"#","19","3","【希】","左","不是因为想念……是因为这个关卡需要解释……而解释对我来说……很难。C走后，很多话没人帮我翻译了。","20","0","","","","","",""
"#","20","","【我】","中","翻译？","21","0","","","","","",""
"#","21","1","【嘉斯林】","右","她是说，C在的时候，C和C#经常帮她把她那些跳脱的逻辑翻译成人话。C负责把她的想法拆成步骤，C#负责封装成可理解的表达。现在她们走了，希只能自己说——但她说的方式，大部分人听不懂。","22","0","","","","","",""
"#","22","","【我】","中","……所以之前我听不懂你说话，不是你的问题，是因为少了两个人翻译？","23","0","","","","","",""
"#","23","3","【希】","左","是的……","24","0","","","","","",""
"#","24","","【我】","中","你现在说的我也能听懂大半了。","25","0","","","","","",""
"#","25","3","【希】","左","因为我在努力……像const成员函数一样……承诺不修改外部状态……只输出我能表达的部分……","26","0","","","","","",""
"#","26","0","【派派】","右","突然这么感动干嘛！本小姐都差点鼻子酸了！","27","0","","跳动","","","",""
"#","27","1","【嘉斯林】","右","派派，没人问你有没有鼻子酸。","28","0","","","","","",""
"#","28","0","【派派】","右","我自曝不行吗！不行吗！","29","0","","抖动","","","",""
"#","29","2","【ADN-1】","右","【温柔的滴滴声】","30","0","","入场","","","",""
"#","30","3","【希】","左","好了……关于我的姐妹，之后再说吧。","31","0","","","","","",""
"#","31","","【我】","中","我好像真的慢慢能听懂你说话了。","32","0","","","","","",""
"#","32","3","【希】","左","是因为你在思考我的逻辑……而不是直接复制粘贴我的输出……","33","0","","","","","",""
"#","33","","【我】","中","……你这句我完全听懂了。","end","0","","","","","",""
